house_number,plant_name,planting_date,date,time,indoor_temperature,indoor_humidity,outdoor_temperature,outdoor_humidity,wind_direction,wind_direction,wind_speed,wind_speed,inner_left_window_top_opening,inner_left_window_bottom_opening,inner_right_window_top_opening,inner_right_window_bottom_opening,outer_left_window_top_opening,outer_left_window_bottom_opening,outer_right_window_top_opening,outer_right_window_bottom_opening,temperature,humidity,solar_irradiance,solar_time,rain_per_hour,snow_per_hour
,,,2025-06-10,15:55:07,34.2,42.6,,,,29,,2.26,,,,,,,,,27.58,52.97,2.14,0.71,0.0,0.0
,,,2025-06-10,16:00:05,34.5,43.1,,,,29,,2.3,,,,,,,,,27.6,53.0,2.1,0.7,0.0,0.0
,,,2025-06-10,16:05:04,34.2,41.7,,,,29,,2.38,,,,,,,,,27.58,53.25,2.05,0.69,0.0,0.0
,,,2025-06-10,16:10:13,34.9,41.8,,,,29,,2.47,,,,,,,,,27.53,53.7,1.98,0.67,0.0,0.0
,,,2025-06-10,16:15:00,34.9,41.7,,,,30,,2.55,,,,,,,,,27.45,54.31,1.91,0.64,0.0,0.0
,,,2025-06-10,16:20:09,36.9,38.8,,,,30,,2.63,,,,,,,,,27.34,55.05,1.83,0.62,0.0,0.0
,,,2025-06-10,16:25:07,36.4,39.7,,,,30,,2.72,,,,,,,,,27.22,55.89,1.74,0.59,0.0,0.0
,,,2025-06-10,16:30:05,35.7,41.3,,,,30,,2.8,,,,,,,,,27.09,56.81,1.66,0.56,0.0,0.0
,,,2025-06-10,16:35:04,37.1,38.2,,,,31,,2.88,,,,,,,,,26.94,57.76,1.57,0.53,0.0,0.0
,,,2025-06-10,16:40:02,36.6,39.1,,,,31,,2.97,,,,,,,,,26.8,58.72,1.49,0.5,0.0,0.0
,,,2025-06-10,16:45:00,36.7,39.0,,,,31,,3.05,,,,,,,,,26.66,59.66,1.41,0.47,0.0,0.0
