# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202507121500 181  18  3.2  -9 -9.0   -9 1004.3 1008.0  7  -2.2  32.0  18.5  45.0  21.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  3.39 -9  45.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507121600 181  18  3.8  -9 -9.0   -9 1003.8 1007.5 -9  -9.0  32.2  19.7  48.0  22.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  2.85 -9  41.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507121700 181  18  2.6  -9 -9.0   -9 1003.4 1007.1 -9  -9.0  32.4  20.9  51.0  24.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  2.15 -9  38.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507121800 181  20  2.9  -9 -9.0   -9 1002.9 1006.6  7  -1.4  31.8  19.4  48.0  22.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  1.41 -9  35.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507121900 181  20  2.6  -9 -9.0   -9 1003.0 1006.7 -9  -9.0  30.6  19.6  52.0  22.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  0.66 -9  32.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507122000 181  18  1.6  -9 -9.0   -9 1003.1 1006.9 -9  -9.0  27.5  20.5  66.0  24.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4651  0.3  0.09 -9  30.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507122100 181   0  0.4  -9 -9.0   -9 1003.2 1007.0  2   0.4  26.1  20.6  72.0  24.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4312 -9.0 -9.00 -9  28.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507122200 181  36  0.6  -9 -9.0   -9 1003.3 1007.1 -9  -9.0  25.5  20.5  74.0  24.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  4586 -9.0 -9.00 -9  27.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507122300 181   0  0.4  -9 -9.0   -9 1003.2 1007.0 -9  -9.0  24.7  20.1  76.0  23.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  2726 -9.0 -9.00 -9  26.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507130000 181   0  0.0  -9 -9.0   -9 1003.1 1006.9  8  -0.1  23.3  20.8  86.0  24.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   0   -9 -         -9  -9  -9  2870 -9.0 -9.00 -9  26.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507130100 181   0  0.4  -9 -9.0   -9 1003.1 1007.0 -9  -9.0  22.9  20.6  87.0  24.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   0   -9 -         -9  -9  -9  2760 -9.0 -9.00 -9  25.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507130200 181   0  0.0  -9 -9.0   -9 1002.6 1006.5 -9  -9.0  22.3  20.3  89.0  23.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   0   -9 -         -9  -9  -9  2308 -9.0 -9.00 -9  25.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507130300 181   0  0.2  -9 -9.0   -9 1001.8 1005.7  8  -1.2  22.3  20.0  87.0  23.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   0   -9 -         -9  -9  -9  2414 -9.0 -9.00 -9  24.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507130400 181   0  0.0  -9 -9.0   -9 1001.5 1005.4 -9  -9.0  21.9  20.3  91.0  23.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   0   -9 -         -9  -9  -9  1489 -9.0 -9.00 -9  24.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507130500 181   0  0.0  -9 -9.0   -9 1001.5 1005.4 -9  -9.0  21.2  20.0  93.0  23.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   0   -9 -         -9  -9  -9  1425 -9.0 -9.00 -9  23.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507130600 181   0  0.2  -9 -9.0   -9 1001.5 1005.4  6  -0.3  21.6  20.2  92.0  23.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   0   -9 -         -9  -9  -9  1705  0.0  0.02 -9  24.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507130700 181   0  0.0  -9 -9.0   -9 1001.2 1005.0 -9  -9.0  22.9  20.4  86.0  24.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   0   -9 -         -9  -9  -9  1798  0.0  0.31 -9  25.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507130800 181  32  1.2  -9 -9.0   -9 1001.0 1004.8 -9  -9.0  24.7  21.0  80.0  24.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        7   0   -9 -         -9  -9  -9  1725  0.4  0.74 -9  28.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507130900 181  36  1.0  -9 -9.0   -9 1000.5 1004.3  7  -1.1  26.6  20.4  69.0  24.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   0   -9 -         -9  -9  -9  2959  0.6  1.58 -9  31.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
